"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 08 09:54:04 MSK 2020","Thu Oct 08 09:54:10 MSK 2020","5589","batch-1","trello","","","","GUI Visual Testing [5]",""
"passed","Thu Oct 08 09:53:59 MSK 2020","Thu Oct 08 09:54:04 MSK 2020","5545","batch-1","trello","","","","GUI Visual Testing [4]",""
"passed","Thu Oct 08 09:54:24 MSK 2020","Thu Oct 08 09:54:29 MSK 2020","4487","batch-1","trello","","","","UI validation [4]",""
"passed","Thu Oct 08 09:53:37 MSK 2020","Thu Oct 08 09:53:42 MSK 2020","5114","batch-1","trello","","","","GUI Visual Testing [1]",""
"passed","Thu Oct 08 09:54:15 MSK 2020","Thu Oct 08 09:54:20 MSK 2020","5102","batch-1","trello","","","","UI validation [2]",""
"passed","Thu Oct 08 09:54:34 MSK 2020","Thu Oct 08 09:54:37 MSK 2020","3593","batch-1","trello","","","","UI validation [6]",""
"passed","Thu Oct 08 09:53:42 MSK 2020","Thu Oct 08 09:53:47 MSK 2020","5424","batch-1","trello","","","","GUI Visual Testing [2]",""
"passed","Thu Oct 08 09:54:10 MSK 2020","Thu Oct 08 09:54:15 MSK 2020","4947","batch-1","trello","","","","UI validation [1]",""
"passed","Thu Oct 08 09:53:29 MSK 2020","Thu Oct 08 09:53:37 MSK 2020","7343","batch-1","trello","Given Story: PreCondition","","","API for vividus",""
"passed","Thu Oct 08 09:54:29 MSK 2020","Thu Oct 08 09:54:34 MSK 2020","4999","batch-1","trello","","","","UI validation [5]",""
"passed","Thu Oct 08 09:54:37 MSK 2020","Thu Oct 08 09:54:44 MSK 2020","6937","batch-1","trello","","","","Adding a task in table using expressions",""
"passed","Thu Oct 08 09:53:02 MSK 2020","Thu Oct 08 09:53:29 MSK 2020","27095","batch-1","trello","Given Story: PreCondition","","","Log In",""
"passed","Thu Oct 08 09:53:47 MSK 2020","Thu Oct 08 09:53:59 MSK 2020","11556","batch-1","trello","","","","GUI Visual Testing [3]",""
"passed","Thu Oct 08 09:54:20 MSK 2020","Thu Oct 08 09:54:24 MSK 2020","4465","batch-1","trello","","","","UI validation [3]",""
